index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
3161,,Bortoluzzi,"Fasiol; Margherita,",,,"s, Marziale",fond. dei Mori,3373,,marziale,Cannaregio,POINT (12.332190888742586 45.44572346579999),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3162,,Bozzoni,"Stefano,",,,s. Marco,merceria s. Giuliano,740,,marco,San Marco,POINT (12.33831519480545 45.43570235642154),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3163,,Camerino,"Girolamo,",,,s. Marziale,fond. Ormesini,2737,,marziale,Cannaregio,POINT (12.328620080301313 45.44552158510049),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3164,,Carminati,"Costantini; Maria,",,,s. Salvatore,merceria,4948,,salvador,San Marco,POINT (12.337188709429183 45.43642651096486),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3165,,Chiavalin,"Maria,",,,s. Pietro,via nuova,1820,,pietro,Castello,POINT (12.355175330479437 45.43255546868066),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3166,,Chielin,"Giovanni,",,,s. Zaccaria,riva degli schiavont,4183,,zaccaria,Castello,POINT (12.343050373060633 45.43405996453678),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3167,,Chitaro,"Antonio,",,,s. Gio. in Bragora,calle del Dose,3804,,giovanni in bragora,Castello,POINT (12.346370688387287 45.434416883956224),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3168,,Cisco,"Girolamo,",,,s. Salvatore,ponte di rialto,5326,,salvador,San Marco,POINT (12.336010502902452 45.437982450298115),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3169,vend. girov.,Coen,"Porto; Mandolin,",,,s. Marziale,fond. Ormesini,2808,,marziale,Cannaregio,POINT (12.32763566214344 45.445911915466255),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3170,,Cossovich,"Marco; Ferdido,",,,ss. Apostoli,rio terra,4658,,apostoli,Cannaregio,POINT (12.337595382886207 45.441502710457215),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3171,,Cozzi,"Leone,",,,s. Geremia,rio terra s. Leonardo,1367,,geremia,Cannaregio,POINT (12.327390002396168 45.44381005687468),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3172,,Curiel,"Memmo,",,,s. Marziale,ghetto nuoyo,2906,,marziale,Cannaregio,POINT (12.327110889002896 45.445169679952194),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,241
3173,,Dabala,"Alessandro,",,,s. Silvestro,ruga del ravano,1032,,silvestro,San Polo,POINT (12.333224889890971 45.438057417230084),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3174,,Dabala; Spaziani," Lucia,",,,s. M. del Giglio,calle lunga s. Moisé,2221,,maria del giglio,San Marco,POINT (12.331130250790352 45.43166767022521),cadaster,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3175,,Dall’Ava,"Alessandrini; Anna,",,,s. Marco,merceria,727,,marco,San Marco,POINT (12.337821343054756 45.435984564952),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3176,,D’Azzi,"Valatelli; Giulia,",,,s. Silvestro,ruga vecchia,560,,silvestro,San Polo,POINT (12.334198228140453 45.43860956231302),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3177,,De Marchi,"Antonio,",,,"s, M. Formosa",,5906,,maria formosa,Castello,POINT (12.339274031246205 45.43832511756512),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3178,,De Paoli,"Antonio,",,,s. Salvatore,ponte dell’olio,5561,,salvador,San Marco,POINT (12.337042998270094 45.43845442763939),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3179,,De Paoli,"Francesco,",,,s. Canciano,salizz. s. Gio. Grisostomo,5784,,canciano,Cannaregio,POINT (12.33700450593702 45.438584822213386),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3180,,Dionisi,"Giuseppe,",,,s. M. Glor. dei Frari,fond. del forner,2924,,maria gloriosa dei frari,San Polo,POINT (12.326528452480403 45.43586401913987),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3181,,Donadoni,"Giovanni,",,,s. Martino,calle del pestrin,3890,,martino,Castello,POINT (12.347836062918253 45.43478199785785),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3182,,Facchinetti,Eredi,,di Gio.,s. Marziale,fond. Ormesini,2688,,marziale,Cannaregio,POINT (12.329764398810687 45.44549429186823),cadaster,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3183,,Fasoli,"Giovanni,",,,s. M. del Carmine,campo s. Margherita,2998,,maria dei carmini,Dorsoduro,POINT (12.323824567519335 45.4349162759245),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3184,vend. girov.,Fassetta,"Giuseppe,",,,ss. Ermagora e Fort.,rio terra due ponti,1635,,ermargora e fortunato,Cannaregio,POINT (12.327391179560287 45.44309428970048),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3185,,‘Lizier,"Rosa,",,,s. Luca,calle ‘def fabbri,4739,,luca,San Marco,POINT (12.335698673894942 45.43620561280616),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3186,,Filippini,"Antonio,",,,s. Pietro,via nuova,1793,,pietro,Castello,POINT (12.353607529483138 45.43242860031122),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3187,"vend. girov,",Finzi,"Moisé,",,,s. Geremia,ghetto vecchio,1150,,geremia,Cannaregio,POINT (12.325567873623534 45.44475588068447),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3188,,Foa,"Salamone,",,,s. Geremia,fondamenta Canareggio,1292,,geremia,Cannaregio,POINT (12.325477106889974 45.443902615990204),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3189,,Franceschi,"Folin.; Angela,",,,s. Silvestro,ruga del ravano,1032,,silvestro,San Polo,POINT (12.333224889890971 45.438057417230084),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3190,,Gerbi,"Giovanna,",,,s. Luca,calle dei fabbri,4711,,luca,San Marco,POINT (12.336088275004272 45.43582663091158),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3191,,Gasparetto,"Angelo,",,,s. M. del Carmine,calle lunga,2751,,maria dei carmini,Dorsoduro,POINT (12.324476348457319 45.4327833546015),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3192,,Gnocchi,"Giosué,",,,s. Luca,calle dei fuseri,4364,,luca,San Marco,POINT (12.335302718363064 45.43476097109269),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3193,,Granziotto,"Geltrude,",,,s. Pietro,campo Ruga,326,,pietro,Castello,POINT (12.357327304609456 45.43363144489488),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3194,,Locatelli,"Lodovico,",,,s. Felice,calle s. Sofia,3995,,felice,Cannaregio,POINT (12.334697863306706 45.441066077112396),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3195,,Locatelli,"Pietro,",,,s. Felice,al ponte,3714,,felice,Cannaregio,POINT (12.333806829643493 45.44182222208945),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3196,,Luzzato,"Moisé,",,,s. Geremia,ghetto vecchio,1135,,geremia,Cannaregio,POINT (12.325397703015584 45.444436248527815),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3197,,Maffei,Conjugi,,"rapp. da Maffei Giovanni,",s. Silvestro,campo s. Aponal,1251,,silvestro,San Polo,POINT (12.332164286271656 45.43783200977206),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3198,,Marampon,"Vincenzo,",,,ss. Gio. e Paolo,corte Valeria,6291,,giovanni e paolo,Castello,POINT (12.34216781022416 45.43883532840452),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3199,,Marchetti,"Antonio,",,,s. M. Formosa,calle lunga,5178,,maria formosa,Castello,POINT (12.34218977247247 45.43784577815769),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3200,,Marini,"Pietro,",,,s. Pantaleone,,3956,,pantalon,Dorsoduro,POINT (12.325401474919795 45.43592567480592),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3201,,Marinoni; Vernier," Elisabetta,",,,s. Francesco,salizz.,3166,,francesco,Castello,POINT (12.347263613322296 45.43705318715187),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3202,,Marzollo,"Pietro,",,,s. Simeone Profeta,fond. rio Marin,779,,simeon profeta,Santa Croce,POINT (12.324748757426024 45.43965980473724),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3203,,Mascherin,"Pietro,",,,s. Gio. in Bragora,salizz. s. Antonin,3318,,giovanni in bragora,Castello,POINT (12.345173707819793 45.43571103215298),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3204,,Mattiazzi,"Giovanna,",,,s. Marco,merceria s. Giuliano,737,,marco,San Marco,POINT (12.338171511988348 45.435787845628326),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3205,,Mazzucato,"Giovanni,",,,s. Zaccaria,calle delle rasse,4528,,zaccaria,Castello,POINT (12.341802379934265 45.43485461416564),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3206,,Mazzucchelli,"Luigia,",,,ss. Ermagora e Fort.,rio terra della Maddalena,2346,,ermargora e fortunato,Cannaregio,POINT (12.330723705577546 45.4435463344769),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3207,,Mello,Gaetano,,"di Sante,",s. M. Formosa,salizzada s. Lio,5729,,maria formosa,Castello,POINT (12.339394317046454 45.43719453075676),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,242
3208,,Mendes,"Giacomo,",,,s. Luca,calle del love,4814,,luca,San Marco,POINT (12.335973469204497 45.43672874438085),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3209,,Meneghetti,"Anna,",,,s. M. del Rosario,rio tevra s. Vito,449,,madonna del rosario,Dorsoduro,POINT (12.331007861265439 45.429544002878764),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3210,,Milocco,"Sebastiano,",,,s. Canciano,calle del pestrin,5389,,canciano,Cannaregio,POINT (12.340546949580071 45.44098374445226),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3211,,Moro,"Domenico,",,,s. Marco,frezzeria,1739,,marco,San Marco,POINT (12.335987824641661 45.434519301281455),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3212,,Negri,Giuseppe,,"di Antonio,",s. M. Formosa,campo s. Lio,5604,,maria formosa,Castello,POINT (12.338220677577366 45.43755158294333),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3213,,Olivieri,"Pompeo,",,,s. Giacomo dall’Orio,calle lunga,1625,,giacomo dall'orio,Santa Croce,POINT (12.328096332515083 45.44047624632951),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3214,,Olivieri,"Pompeo,",,,s. M. del Carmine,calle della Chiesa,3681,,maria dei carmini,Dorsoduro,POINT (12.323924978827208 45.435140635398064),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3215,,Paggini,"Dionisie; Nicol,",,,s. M. Formosa,campo,5854,,maria formosa,Castello,POINT (12.34069584575151 45.43731693236482),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3216,,Pasqualetti,"Giovanni,",,,s. Luca,calle del pistor,4577,,luca,San Marco,POINT (12.335570610442279 45.436097973205605),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3217,,Pastori,"Maria,",,,s. Pantaleone,fond. Minotto,165,,pantalon,Dorsoduro,POINT (12.333241677456655 45.43069272968961),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3218,,Pellai,"Giovanna,",,,s. Gio. in Bragora,"salizzada s, Antonin",3467,,giovanni in bragora,Castello,POINT (12.345785793853867 45.435593028751065),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3219,,Pellanda,"Maria,",,,s. Salvatore,a s. Bartolammeo,5038,,salvador,San Marco,POINT (12.336549676821367 45.43717744748323),interpolation,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3220,,Piva,"Giovanni,",,,s. M. Formosa,calle s. Antonio,5615,,maria formosa,Castello,POINT (12.337863149028767 45.43765298362314),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3220,,Piva,"Giovanni,",,,s. M. Formosa,calle s. Antonio,5615,,maria formosa,Castello,POINT (12.337863149028767 45.43765298362314),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,311
3220,,Piva,"Giovanni,",,,s. M. Formosa,calle s. Antonio,5615,,maria formosa,Castello,POINT (12.337863149028767 45.43765298362314),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,311
3221,vend. girov.,Polacco,"Sansone,",,,s. Geremia,ghetto vecchio,1193,,geremia,Cannaregio,POINT (12.326245437658244 45.44510103165651),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3222,,Pusinich,"Rainieri,",,,ss. Gervasio e Protasio,fond. Ca Toffetti,1076,,gervasio e protasio,Cannaregio,POINT (12.323988005644448 45.44521414336455),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3223,,Ricco,"Antonio,",,,s. Canciano,salizzada,5561,,canciano,Cannaregio,POINT (12.337788200475428 45.43974037199983),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3224,,Ricolpo,Domenico,,"rapp. da Giacomo Ricolpo,",ss. Gio. e Paolo,calle dell’ ospedaletto,6375,,giovanni e paolo,Castello,POINT (12.34278085201719 45.43846288153528),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3225,,Rietti,"Sansone,",,,s. Geremia,salizzada,321,,geremia,Cannaregio,POINT (12.325227067034549 45.4435874231251),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3226,,Rigo,"Antonio,",,,s. Salvatore,calle dell’ orso,5557,,salvador,San Marco,POINT (12.337013447710815 45.43835179319225),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3227,,Rigo,"Pietro,",,,s. M. del Rosario,fondamenta Zorzi,370,,madonna del rosario,Dorsoduro,POINT (12.33113692787986 45.43031004289851),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3228,,Rimini,"Manasse,",,,s. Marco,merceria dell’orologio,225,,marco,San Marco,POINT (12.338794416383838 45.43510498577383),cadaster,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3229,,Rizzi,Maria,,"fu Pietro,",ss. Ermagora e Fort.,rio terra della Maddalena,2353,,ermargora e fortunato,Cannaregio,POINT (12.329914168335119 45.44377783652701),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3230,,Rondina,"Teresa,",,,s. Cassiano,sottoportico del cappeller,1586,,cassiano,Santa Croce,POINT (12.32778177104232 45.4399257065232),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3231,,Rondina,"Valentino,",,,s. Cassiano,calle dei botteri,1756,,cassiano,Santa Croce,POINT (12.328387426857656 45.4410974003836),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3232,,Sacerdoti,"Moisé,",,,s. Geremia,ghetto vecchio,1447,,geremia,Cannaregio,POINT (12.327924627511447 45.445233150939835),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3233,,Salvetti,"Giacomo,",,,"s, Gio. in Bragora",salizz. s. Antonin,3482,,giovanni in bragora,Castello,POINT (12.346710740737034 45.43534513744207),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3234,,Sambo,"Domenico,",,,s. M. del Rosario,calle del Bastion,190,,madonna del rosario,Dorsoduro,POINT (12.332799851199475 45.43070971851163),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3235,,Sandon,"Giovanni,",,,s. Silvestro,sottop. di rialto,21,,silvestro,San Polo,POINT (12.335517747552892 45.438304074728016),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3236,,Sanvito,"Antonio,",,,s. Luca,calle del pistor,4583,,luca,San Marco,POINT (12.335362688288864 45.436008448597605),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3237,,Saonaro,"Elisabetta,",,,s. Eufemia,fond. ponte piccolo,326,,eufemia,Dorsoduro,POINT (12.3310348025198 45.428617868546354),cadaster,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3238,,Scarpa,"Maddalena,",,,s. Salvatore,calle del lovo,4825,,salvador,San Marco,POINT (12.337029731514141 45.43799634914386),cadaster,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3239,,Scatturin,"Angelini; Anna,",,,s. M. Formosa,calle lunga,6206,,maria formosa,Castello,POINT (12.34166763494567 45.43768092104072),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3240,,Schidlof,"Giacomo,",,,s. Marco,merceria,715,,marco,San Marco,POINT (12.337820377386848 45.43602413724216),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3241,,Sella,"Pietro,",,,s. M. del Carmine,,2616,,maria dei carmini,Dorsoduro,POINT (12.322179782446968 45.43379985484468),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3242,,Teardo,"Francesco,",,,s. M. del. Carmine,camp. Barbarigo,2348,,maria dei carmini,Dorsoduro,POINT (12.317742772331473 45.43262255764),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3243,,Tonini,"Ottavia,",,,ss. Ermagora e Fort.,rio terra due ponti,1332,,ermargora e fortunato,Cannaregio,POINT (12.326418950915539 45.443776278798964),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
